entity_name,head_count,tail_count,labels
gut microbiota,78,31,"['Biological Component', 'Organism', 'Microbiota', 'microbial community', 'organism', 'Microorganism', 'ecosystem', 'Microbial community', 'microbiota', 'Biological Process', 'Biological Entity', 'biological entity', 'BiologicalEntity', 'biological process', 'Microbial Community', 'Physiological Process', 'Microbial_Community']"
CDR,29,0,['biological process']
gut microbiome,29,8,"['microbial community', 'Biological Data', 'microbiome', 'biological system', 'Biological Process', 'Biological Entity', 'Microbial Community', 'organism', 'Microbiome']"
probiotics,22,0,"['therapy', 'Substance', 'Dietary Factor', 'intervention', 'Food', 'Therapeutic Agent', 'dietary supplement']"
Parkinson's disease,21,19,"['Neurological Disorder', 'disease', 'Disease', 'neurodegenerative disease']"
gut-brain axis,20,4,"['biological system', 'Biological Process', 'Physiological System', 'Biological System', 'Physiological Process']"
post-COVID-19 DGBI,18,0,['Condition']
microbiota,18,5,"['microbiota', 'ecosystem', 'biological entity', 'Biological Entity']"
Dextran Sodium Sulphate,17,0,['Chemical']
Xingpijieyu formula,17,0,['Medicine']
Bugs and Brains Study,16,0,['Study']
Gut microbiota,16,8,"['Microbial Community', 'Organism', 'Biological Entity']"
review,14,4,"['Literature Review', 'Literature', 'literature']"
Melanin,14,0,['Pigment']
secondary outcomes,14,0,['Outcome']
Bacillus licheniformis,13,1,['Probiotic']
High-fiber diet,12,0,['Diet']
EDF group,11,0,['Treatment Group']
Probiotics,11,4,"['Therapeutic Agent', 'Biological Agent', 'Intervention']"
Hydrogen Sulfide,11,0,['Chemical']
MEs,11,0,['Molecule']
Triphala polyphenols,10,0,['Botanical Supplement']
patients,10,2,"['HumanSubject', 'group', 'Patient Population']"
neurological and mental disorders,10,4,['disease']
failure in interaction,10,0,['biological process']
probiotic supplementation,9,1,"['Treatment', 'treatment', 'therapeutic intervention', 'Intervention']"
Malnutrition,9,0,['Condition']
microbiota-gut-brain axis,9,2,"['Biological System', 'Biological Process', 'Biological Axis']"
ED group,9,0,['Treatment Group']
Gut Microbiota,9,5,"['Biological System', 'Organism', 'Biological Entity']"
Lactobacillus reuteri ATG-F4,8,0,['Probiotic']
Probiotic NVP-1704,8,0,['Probiotic']
factors influencing microbiota analysis,8,0,['Influencing Factors']
study,8,1,"['Research', 'ResearchStudy', 'Research Study']"
Fermented Wheat Germ,8,0,['Substance']
metabolites,8,1,"['metabolites', 'Substance']"
Butylated Starch,7,0,['Substance']
Ruminococcaceae,7,0,"['Microbial Family', 'Taxa']"
dysbiosis,7,0,"['microbial imbalance', 'Microbial Imbalance', 'Physiological State']"
Autoimmune diseases,7,2,['Disease']
Large-scale cohorts,7,0,['Study']
Lactobacillus plantarum CCFM8661,7,0,['Probiotic']
Gut Microbiome,7,1,"['Organism', 'Biological Entity']"
participants,7,0,"['Population', 'Human']"
Parkinson's disease (PD),7,9,['Disease']
Microbiome,6,0,['Biological Entity']
gut dysbiosis,6,8,"['Condition', 'Microbial Imbalance', 'Microbiota', 'biological process']"
changes in gut microbiota,6,0,['biological change']
aging,6,1,"['process', 'Biological Process']"
Firmicutes,6,1,"['Organism', 'Microbial Phylum']"
Bacteroides,6,1,"['Bacterial Genus', 'Organism', 'Bacteria', 'Microbial Genus']"
Changes in microbiota composition,6,0,['Change']
High-cholesterol diet,6,5,['Diet']
microflora metabolites,6,0,['chemical_substance']
FD mice,6,3,['Animal model']
phytochemicals,6,9,['substance']
canine intestinal microbiota,5,0,['Physiological Process']
PCOS-DP,5,4,['Patient Group']
Probiotic group,5,0,['Group']
complex landscape,5,1,['Concept']
AGPs,5,1,['Substance']
Dysregulation of Gut Barrier Functions,5,2,['Physiological Process']
Gut microbiome,5,0,"['Biological System', 'Biological Entity']"
Toll-like receptor 4,5,0,['Protein']
Neurodegenerative diseases,5,0,['Disease']
Essential oils,5,0,['Substance']
inflammatory markers,5,3,"['Biological Molecule', 'Measurement', 'Biological Marker']"
prebiotic supplementation,5,0,['treatment']
Within-Subject Dissimilarities,5,0,['Measure']
Probiotic supplementation,5,0,['Behavior']
Toll-like receptor 2,5,0,['Protein']
protocol,5,0,['Protocol']
Affective disorders,5,2,['Disease']
bin_55,5,0,['Microbial Strain']
subdiaphragmatic vagotomy,5,0,['Medical procedure']
dietary transition,5,0,['dietary change']
research,5,1,"['activity', 'Research Activity', 'Research Field']"
patients after SG,4,0,['group']
microbiota changes,4,0,['Biological Change']
gut-microbiota-brain axis,4,2,"['biological system', 'Physiological system']"
Haemophilus,4,0,['Bacteria']
long-term acetate deficiency,4,0,['Metabolic Condition']
Insomnia,4,4,['Mental Health Issue']
patients with alcohol overconsumption,4,0,['Patient group']
anxiety disorders,4,2,"['Condition', 'mental disorder', 'disease']"
Major depression,4,1,['Disease']
Parkinsonian pathology,4,1,['Pathological process']
Shotgun metagenomics,4,0,['Method']
Lactobacillus fermentum PS150,4,2,['Bacteria Strain']
potential psychobiotics,4,0,['Microbiota']
Triphala,4,0,['Herbal Medicine']
vitiligo,4,1,['Disease']
four potential psychobiotics,4,0,['Microbiota']
Colon cancer-related anemia (CCRA),4,0,['Medical Condition']
Akkermansia_muciniphila,4,0,['Microbial Species']
disruption of intestinal integrity,4,0,['Pathological Process']
SBF,4,1,['Chemical']
Diseases,4,0,['Disease category']
Alzheimer's disease,4,6,"['Neurological Disorder', 'disease', 'Disease', 'neurodegenerative disease']"
PD patients,4,1,['Patient']
underlying factors,4,1,['Factor']
Berberine,4,0,['Substance']
human microbiome,4,0,['Microbial Community']
prebiotics,4,0,"['Therapeutic Agent', 'dietary supplement', 'Food']"
intestinal microbiota,4,0,['Physiological Process']
diet,4,2,"['Nutrition', 'Dietary Factor', 'Factor']"
Depression,4,8,"['Mental Health Condition', 'Disease', 'Mental Disorder']"
Bifidobacterium,4,1,"['Bacteria', 'Microbial Species', 'Bacterial Genus']"
Lactobacillus,4,2,"['Organism', 'Taxonomic Group', 'Bacteria', 'Bacterial Genus']"
Blautia,4,1,"['Bacteria', 'microbial genus', 'Microbial Species']"
therapeutic strategies,4,1,['concept']
preventive strategies,4,1,['concept']
chronic insomnia patients,4,2,['Patient Group']
acute insomnia patients,4,2,['Patient Group']
gut microbiota composition,4,3,"['Condition', 'Biological Entity', 'biological entity', 'Biological Composition']"
usage of pesticides,4,0,['agricultural practice']
Mediterranean diet,4,0,['Diet']
