relation_name,relation_count
associated with,109
linked to,49
affects,45
leads to,39
contributes to,35
include,34
increases,27
modulate,24
decreased in,24
influences,23
includes,22
linked with,19
impacts,18
interacts with,18
increased in,17
used for,16
related to,16
induces,14
reduces,13
affect,13
improves,13
implicated in,13
causes,13
produces,12
investigates,12
has,12
alleviates,12
has risk factor,11
regulate,11
alters,11
regulates,10
positively correlated with,10
correlated with,10
has mechanism,10
lower abundance,9
contains,9
searched in,9
used in,8
abundant in,8
consists of,8
found in,8
involved in,8
contribute to,8
have,7
improve,7
enrich,7
compared to,7
involves,7
decreases,7
target,7
enriched in,7
correlate with,6
dominated by,6
searched,6
abundance higher in,6
inhibits expression of,6
report,6
has lower,6
risk factor for,5
administered for,5
is higher,5
did not depend on,5
mediated by,5
diagnosed with,5
inhibits,5
has negative correlation with,5
evaluates,5
influence,5
increased,5
negatively correlated with,5
derived from,5
part of,5
promotes,5
reveals,5
plays role in,5
adjusted for,5
promotes expression of,5
characterised by,4
measured,4
treats,4
does not influence,4
relieves,4
modifies,4
converted to,4
shapes,4
dysfunction of,4
funded by,4
compared between,4
plays a role in,4
biomarker for,4
supported by studies showing alterations in,4
display variability in,4
stimulate,4
identified,4
obtained at,4
is correlated with,4
influenced by,4
altered in,4
relates to,4
differed,4
needs research on,4
predicts,4
distinguishes,4
negatively related to,4
is positively correlated with,4
targets,4
attenuates,3
mediates,3
abundance decreased in,3
play role in,3
reduce risk,3
impact,3
occur in,3
display,3
analyzed based on,3
analyzes,3
crucial for,3
has impact on,3
correlates with,3
should consider,3
prevents increase in,3
should incorporate,3
support,3
alter,3
uses,3
had more sgbs,3
positively modulates,3
acquired from,3
are human self proteins,3
accompanied by,3
unveiled,3
has higher,3
biomarker of,3
correct imbalance,3
sequenced in,3
not associated with,3
suffer from,3
show lower abundance of,3
has lower abundance in,3
is a,3
has higher abundance in,3
reduce,3
comprising,3
modulates,3
decreased,3
analyzed,3
used to,3
elicits,2
triggered by,2
metabolic pathway differed between,2
difference between,2
mediator of,2
ameliorates,2
decreases likelihood of,2
suggests,2
discussed for treatment of,2
benefit,2
may contribute to,2
driven by,2
protect against,2
infects,2
effective in,2
co-occurs with,2
represent,2
has prevalence,2
has association with,2
has difference in abundance,2
is increased in,2
increased from,2
demonstrate,2
discriminates between,2
increased abundance in,2
measured in,2
mitigates,2
achieves,2
compares between,2
play a role in,2
has prevalence of,2
needed,2
help regulate,2
compare,2
cover,2
had decreased sgbs,2
studied in,2
has effect on,2
dysregulated in,2
might shed light on,2
disturbs,2
connects,2
dysregulation promotes,2
associatedwith,2
hasprogressiontype,2
transported to,2
has link,2
focus on,2
has consequence,2
connected to,2
covers,2
reduced,2
reverses,2
enhances,2
exhibits,2
underlies,2
upregulates,2
constructed based on,2
improved,2
facilitates,2
results in,2
recovers,2
causative impact on,2
promotes proliferation of,2
decrease,2
limited evidence,2
has inconclusive effects on,2
is lower,2
has increased abundance,2
observed,2
demonstrated,2
disrupts,2
used as,2
difference compared between,2
characterizes,2
based on,2
examines,2
provide evidence of,2
